唯一键,dungeon_type,类型,dungeon_id,显示名,层级/难度,子类型,怪物等级,Prefab/结构ID,补充参数,来源
0:0,0,主城,0,主城,,,,,非副本场景,src/include/dungeon.hrl:108
1:10101,1,主线/小秘境,10101,小秘境 1-1,1,,1,10101,chapter_id=1; monster_strength_level=1,src/conf/conf_dungeon_inners_level.erl:37
1:10102,1,主线/小秘境,10102,小秘境 1-2,2,,2,10102,chapter_id=1; monster_strength_level=2,src/conf/conf_dungeon_inners_level.erl:47
1:10103,1,主线/小秘境,10103,小秘境 1-3,3,,3,10103,chapter_id=1; monster_strength_level=3,src/conf/conf_dungeon_inners_level.erl:57
1:10104,1,主线/小秘境,10104,小秘境 1-4,4,,3,10104,chapter_id=1; monster_strength_level=4,src/conf/conf_dungeon_inners_level.erl:67
1:10105,1,主线/小秘境,10105,小秘境 1-5,5,,4,10105,chapter_id=1; monster_strength_level=5,src/conf/conf_dungeon_inners_level.erl:77
1:10106,1,主线/小秘境,10106,小秘境 1-6,6,,5,10106,chapter_id=1; monster_strength_level=6,src/conf/conf_dungeon_inners_level.erl:87
1:10107,1,主线/小秘境,10107,小秘境 1-7,7,,6,10107,chapter_id=1; monster_strength_level=7,src/conf/conf_dungeon_inners_level.erl:97
1:10108,1,主线/小秘境,10108,小秘境 1-8,8,,7,10108,chapter_id=1; monster_strength_level=8,src/conf/conf_dungeon_inners_level.erl:107
1:10109,1,主线/小秘境,10109,小秘境 1-9,9,,8,10109,chapter_id=1; monster_strength_level=9,src/conf/conf_dungeon_inners_level.erl:117
1:10110,1,主线/小秘境,10110,小秘境 1-10,10,,8,10110,chapter_id=1; monster_strength_level=10,src/conf/conf_dungeon_inners_level.erl:127
1:10111,1,主线/小秘境,10111,小秘境 1-11,11,,9,10111,chapter_id=1; monster_strength_level=11,src/conf/conf_dungeon_inners_level.erl:137
1:10112,1,主线/小秘境,10112,小秘境 1-12,12,,10,10112,chapter_id=1; monster_strength_level=12,src/conf/conf_dungeon_inners_level.erl:147
1:10113,1,主线/小秘境,10113,小秘境 1-13,13,,11,10113,chapter_id=1; monster_strength_level=13,src/conf/conf_dungeon_inners_level.erl:157
1:10114,1,主线/小秘境,10114,小秘境 1-14,14,,11,10114,chapter_id=1; monster_strength_level=14,src/conf/conf_dungeon_inners_level.erl:167
1:10115,1,主线/小秘境,10115,小秘境 1-15,15,,12,10115,chapter_id=1; monster_strength_level=15,src/conf/conf_dungeon_inners_level.erl:177
1:10201,1,主线/小秘境,10201,小秘境 2-1,16,,13,10201,chapter_id=2; monster_strength_level=16,src/conf/conf_dungeon_inners_level.erl:187
1:10202,1,主线/小秘境,10202,小秘境 2-2,17,,13,10202,chapter_id=2; monster_strength_level=17,src/conf/conf_dungeon_inners_level.erl:197
1:10203,1,主线/小秘境,10203,小秘境 2-3,18,,14,10203,chapter_id=2; monster_strength_level=18,src/conf/conf_dungeon_inners_level.erl:207
1:10204,1,主线/小秘境,10204,小秘境 2-4,19,,15,10204,chapter_id=2; monster_strength_level=19,src/conf/conf_dungeon_inners_level.erl:217
1:10205,1,主线/小秘境,10205,小秘境 2-5,20,,15,10205,chapter_id=2; monster_strength_level=20,src/conf/conf_dungeon_inners_level.erl:227
1:10206,1,主线/小秘境,10206,小秘境 2-6,21,,16,10206,chapter_id=2; monster_strength_level=21,src/conf/conf_dungeon_inners_level.erl:237
1:10207,1,主线/小秘境,10207,小秘境 2-7,22,,17,10207,chapter_id=2; monster_strength_level=22,src/conf/conf_dungeon_inners_level.erl:247
1:10208,1,主线/小秘境,10208,小秘境 2-8,23,,17,10208,chapter_id=2; monster_strength_level=23,src/conf/conf_dungeon_inners_level.erl:257
1:10209,1,主线/小秘境,10209,小秘境 2-9,24,,18,10209,chapter_id=2; monster_strength_level=24,src/conf/conf_dungeon_inners_level.erl:267
1:10210,1,主线/小秘境,10210,小秘境 2-10,25,,18,10210,chapter_id=2; monster_strength_level=25,src/conf/conf_dungeon_inners_level.erl:277
1:10211,1,主线/小秘境,10211,小秘境 2-11,26,,19,10211,chapter_id=2; monster_strength_level=26,src/conf/conf_dungeon_inners_level.erl:287
1:10212,1,主线/小秘境,10212,小秘境 2-12,27,,20,10212,chapter_id=2; monster_strength_level=27,src/conf/conf_dungeon_inners_level.erl:297
1:10213,1,主线/小秘境,10213,小秘境 2-13,28,,20,10213,chapter_id=2; monster_strength_level=28,src/conf/conf_dungeon_inners_level.erl:307
1:10214,1,主线/小秘境,10214,小秘境 2-14,29,,21,10214,chapter_id=2; monster_strength_level=29,src/conf/conf_dungeon_inners_level.erl:317
1:10215,1,主线/小秘境,10215,小秘境 2-15,30,,21,10215,chapter_id=2; monster_strength_level=30,src/conf/conf_dungeon_inners_level.erl:327
1:10216,1,主线/小秘境,10216,小秘境 2-16,31,,22,10216,chapter_id=2; monster_strength_level=31,src/conf/conf_dungeon_inners_level.erl:337
1:10217,1,主线/小秘境,10217,小秘境 2-17,32,,22,10217,chapter_id=2; monster_strength_level=32,src/conf/conf_dungeon_inners_level.erl:347
1:10218,1,主线/小秘境,10218,小秘境 2-18,33,,23,10218,chapter_id=2; monster_strength_level=33,src/conf/conf_dungeon_inners_level.erl:357
1:10219,1,主线/小秘境,10219,小秘境 2-19,34,,24,10219,chapter_id=2; monster_strength_level=34,src/conf/conf_dungeon_inners_level.erl:367
1:10220,1,主线/小秘境,10220,小秘境 2-20,35,,24,10220,chapter_id=2; monster_strength_level=35,src/conf/conf_dungeon_inners_level.erl:377
1:10221,1,主线/小秘境,10221,小秘境 2-21,36,,25,10221,chapter_id=2; monster_strength_level=36,src/conf/conf_dungeon_inners_level.erl:387
