装备类别,equipment_id,名称,career,职业,quality_tier,品质,部位,底材/基础装备ID,元素,技能/被动/效果ID,核心技能ID,套装ID,来源
主武器,1000001,剑,1,战士,1,白（灰）/凡品,主武器槽,1100001,2,1,0,,src/conf/conf_weapon_primary.erl:37
主武器,1000002,权杖,2,牧师,1,白（灰）/凡品,主武器槽,1100002,0,5,0,,src/conf/conf_weapon_primary.erl:64
主武器,1000003,弓,3,游侠,1,白（灰）/凡品,主武器槽,1100003,3,3,0,,src/conf/conf_weapon_primary.erl:91
主武器,1001001,极·炎息,1,战士,6,红/不朽,主武器槽,1101001,2,2,0,,src/conf/conf_weapon_primary.erl:118
主武器,1002001,极·撒利的电泵,2,牧师,6,红/不朽,主武器槽,1102001,1,6,0,,src/conf/conf_weapon_primary.erl:145
主武器,1003001,极·苏醒者耶梦加得,3,游侠,6,红/不朽,主武器槽,1103001,3,4,0,,src/conf/conf_weapon_primary.erl:172
主武器,1040001,破损的剑,0,全职业,2,蓝/精良,主武器槽,40001,0,40001,0,,src/conf/conf_weapon_primary.erl:199
主武器,1040002,香蕉,0,全职业,2,蓝/精良,主武器槽,40002,3,40002,0,,src/conf/conf_weapon_primary.erl:226
主武器,1040003,小型星镖,0,全职业,2,蓝/精良,主武器槽,40003,0,40003,0,,src/conf/conf_weapon_primary.erl:253
主武器,1040004,铁权杖,0,全职业,2,蓝/精良,主武器槽,40004,0,40004,0,,src/conf/conf_weapon_primary.erl:280
主武器,1040005,木制权杖,0,全职业,2,蓝/精良,主武器槽,40005,0,40005,0,,src/conf/conf_weapon_primary.erl:307
主武器,1040006,精钢长剑,0,全职业,3,紫/稀世,主武器槽,40006,0,40006,0,,src/conf/conf_weapon_primary.erl:334
主武器,1040007,鱼骨,0,全职业,3,紫/稀世,主武器槽,40007,3,40007,0,,src/conf/conf_weapon_primary.erl:361
主武器,1040008,风行星镖,0,全职业,3,紫/稀世,主武器槽,40008,3,40008,0,,src/conf/conf_weapon_primary.erl:388
主武器,1040009,奥能权杖,0,全职业,3,紫/稀世,主武器槽,40009,0,40009,0,,src/conf/conf_weapon_primary.erl:415
主武器,1040010,水灵权杖,0,全职业,3,紫/稀世,主武器槽,40010,1,40010,0,,src/conf/conf_weapon_primary.erl:442
主武器,1040011,秘银大剑,0,全职业,4,橙/传说,主武器槽,40011,0,40011,0,,src/conf/conf_weapon_primary.erl:469
主武器,1040012,樱花,0,全职业,4,橙/传说,主武器槽,40012,0,40012,0,,src/conf/conf_weapon_primary.erl:496
