item_id,服务端名称,多语言键,type,类型说明,quality,品质说明,获得去向,珍品,指令可获得,记录后台日志,param,来源
1001,经验,10001,1,技能物品类型,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:37
1002,金币,10003,1002,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,2,0,1,1,1,src/conf/conf_item.erl:54
1003,初级技能素材,10005,1003,货币/材料（type 与 item_id 对齐）,3,紫/稀世,2,0,1,1,1,src/conf/conf_item.erl:71
1004,蓝钻,10007,1004,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:88
1005,粉钻,10009,1005,货币/材料（type 与 item_id 对齐）,4,橙/传说,2,0,1,1,1,src/conf/conf_item.erl:105
1006,30级凡品装备预览项,10011,1006,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1,src/conf/conf_item.erl:122
1007,30级精良装备预览项,10012,1006,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1,src/conf/conf_item.erl:139
1008,30级稀世装备预览项,10013,1006,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1,src/conf/conf_item.erl:156
1009,30级传说装备预览项,10014,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1,src/conf/conf_item.erl:173
1010,30级神铸装备预览项,10015,1006,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1,src/conf/conf_item.erl:190
1011,30级不朽装备预览项,10016,1006,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1,src/conf/conf_item.erl:207
1012,30级虹彩装备预览项,10017,1006,货币/材料（type 与 item_id 对齐）,7,彩/虹彩,1,0,1,1,1,src/conf/conf_item.erl:224
1013,TEST待删_挂机装备掉落假道具,10019,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1,src/conf/conf_item.erl:241
1014,50级凡品装备预览项,10021,1006,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1,src/conf/conf_item.erl:258
1015,50级精良装备预览项,10022,1006,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1,src/conf/conf_item.erl:275
1016,50级稀世装备预览项,10023,1006,货币/材料（type 与 item_id 对齐）,3,紫/稀世,1,0,1,1,1,src/conf/conf_item.erl:292
1017,50级传说装备预览项,10024,1006,货币/材料（type 与 item_id 对齐）,4,橙/传说,1,0,1,1,1,src/conf/conf_item.erl:309
1018,50级神铸装备预览项,10025,1006,货币/材料（type 与 item_id 对齐）,5,黄/神铸,1,0,1,1,1,src/conf/conf_item.erl:326
1019,50级不朽装备预览项,10026,1006,货币/材料（type 与 item_id 对齐）,6,红/不朽,1,0,1,1,1,src/conf/conf_item.erl:343
1020,50级虹彩装备预览项,10027,1006,货币/材料（type 与 item_id 对齐）,7,彩/虹彩,1,0,1,1,1,src/conf/conf_item.erl:360
1021,70级凡品装备预览项,10028,1006,货币/材料（type 与 item_id 对齐）,1,白（灰）/凡品,1,0,1,1,1,src/conf/conf_item.erl:377
1022,70级精良装备预览项,10029,1006,货币/材料（type 与 item_id 对齐）,2,蓝/精良,1,0,1,1,1,src/conf/conf_item.erl:394
