skill_id,career,职业,skill_type,技能类型,元素类型,绑定技能ID,核心类型,解锁技能等级,需要道具,关联物品ID,关联物品名称,战力,来源
1,1,战士,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:37
2,1,战士,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:49
3,3,游侠,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:61
4,1,战士,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:73
5,2,牧师,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:85
6,2,牧师,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:97
8001,0,全职业,7,宠物被动技能,0,0,0,0,0,,,400,src/conf/conf_skill.erl:1045
10810,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:109
10820,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:121
10830,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:133
40001,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:853
40002,0,全职业,0,未在 skill.hrl 定义宏,3,0,0,1,0,,,0,src/conf/conf_skill.erl:865
40003,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:877
40004,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:889
40005,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:901
40006,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:913
40007,0,全职业,0,未在 skill.hrl 定义宏,3,0,0,1,0,,,0,src/conf/conf_skill.erl:925
40008,0,全职业,0,未在 skill.hrl 定义宏,3,0,0,1,0,,,0,src/conf/conf_skill.erl:937
40009,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:949
40010,0,全职业,0,未在 skill.hrl 定义宏,1,0,0,1,0,,,0,src/conf/conf_skill.erl:961
40011,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:973
40012,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:985
40013,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:997
40014,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:1009
40015,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:1021
510110,1,战士,1,核心驱动,2,0,0,1,7000014,"7000003, 7000014",核心技能领悟 / 烈焰风车,0,src/conf/conf_skill.erl:145
510120,1,战士,4,核心魂珠,2,510110,1,1,7000004,7000004,核心魂珠·对群,0,src/conf/conf_skill.erl:157
510130,1,战士,4,核心魂珠,2,510110,2,25,0,,,0,src/conf/conf_skill.erl:169
510510,1,战士,2,战技术式,2,0,0,1,7000008,"7000001, 7000008",战技领悟·一式 / 炎祸,0,src/conf/conf_skill.erl:181
510520,1,战士,5,战技魂珠,2,510510,0,3,0,,,0,src/conf/conf_skill.erl:193
510530,1,战士,5,战技魂珠,2,510510,0,1,7000005,7000005,战技魂珠·二式,0,src/conf/conf_skill.erl:205
510710,1,战士,2,战技术式,2,0,0,30,0,,,0,src/conf/conf_skill.erl:217
510720,1,战士,5,战技魂珠,2,510710,0,30,0,,,0,src/conf/conf_skill.erl:841
510730,1,战士,5,战技魂珠,2,510710,0,30,0,,,0,src/conf/conf_skill.erl:229
510910,1,战士,2,战技术式,0,0,0,1,7000011,"7000002, 7000011",战技领悟·二式 / 盛怒,0,src/conf/conf_skill.erl:241
510920,1,战士,5,战技魂珠,0,510910,0,5,0,,,0,src/conf/conf_skill.erl:253
510930,1,战士,5,战技魂珠,0,510910,0,25,0,,,0,src/conf/conf_skill.erl:265
513110,1,战士,3,被动模块,0,0,0,1,7000006,7000006,被动领悟·一式,0,src/conf/conf_skill.erl:277
513111,1,战士,3,被动模块,0,0,0,1,7000007,7000007,被动领悟·二式,0,src/conf/conf_skill.erl:289
513112,1,战士,3,被动模块,0,0,0,35,0,,,0,src/conf/conf_skill.erl:301
513113,1,战士,3,被动模块,0,0,0,35,0,,,0,src/conf/conf_skill.erl:313
513114,1,战士,3,被动模块,0,0,0,40,0,,,0,src/conf/conf_skill.erl:325
513115,1,战士,3,被动模块,0,0,0,40,0,,,0,src/conf/conf_skill.erl:337
513116,1,战士,3,被动模块,0,0,0,50,0,,,0,src/conf/conf_skill.erl:349
520110,3,游侠,1,核心驱动,3,0,0,1,7000016,"7000003, 7000016",核心技能领悟 / 疯藤乱舞,0,src/conf/conf_skill.erl:361
520120,3,游侠,4,核心魂珠,3,520110,2,25,0,,,0,src/conf/conf_skill.erl:373
520130,3,游侠,4,核心魂珠,3,520110,1,1,7000004,7000004,核心魂珠·对群,0,src/conf/conf_skill.erl:385
520210,3,游侠,2,战技术式,3,0,0,1,7000010,"7000001, 7000010",战技领悟·一式 / 丛林之舞,0,src/conf/conf_skill.erl:397
520220,3,游侠,5,战技魂珠,3,520210,0,3,0,,,0,src/conf/conf_skill.erl:409
520230,3,游侠,5,战技魂珠,3,520210,0,1,7000005,7000005,战技魂珠·二式,0,src/conf/conf_skill.erl:421
520310,3,游侠,2,战技术式,3,0,0,1,7000013,"7000002, 7000013",战技领悟·二式 / 寄生,0,src/conf/conf_skill.erl:433
520320,3,游侠,5,战技魂珠,3,520310,0,5,0,,,0,src/conf/conf_skill.erl:445
520330,3,游侠,5,战技魂珠,3,520310,0,25,0,,,0,src/conf/conf_skill.erl:457
520410,3,游侠,2,战技术式,3,0,0,30,0,,,0,src/conf/conf_skill.erl:469
520420,3,游侠,5,战技魂珠,3,520410,0,30,0,,,0,src/conf/conf_skill.erl:481
520430,3,游侠,5,战技魂珠,3,520410,0,30,0,,,0,src/conf/conf_skill.erl:493
523110,3,游侠,3,被动模块,0,0,0,1,7000006,7000006,被动领悟·一式,0,src/conf/conf_skill.erl:505
523111,3,游侠,3,被动模块,0,0,0,1,7000007,7000007,被动领悟·二式,0,src/conf/conf_skill.erl:517
523112,3,游侠,3,被动模块,0,0,0,35,0,,,0,src/conf/conf_skill.erl:529
523113,3,游侠,3,被动模块,0,0,0,35,0,,,0,src/conf/conf_skill.erl:541
523114,3,游侠,3,被动模块,0,0,0,40,0,,,0,src/conf/conf_skill.erl:553
523115,3,游侠,3,被动模块,0,0,0,40,0,,,0,src/conf/conf_skill.erl:565
523116,3,游侠,3,被动模块,0,0,0,50,0,,,0,src/conf/conf_skill.erl:577
530110,2,牧师,1,核心驱动,1,0,0,1,7000015,"7000003, 7000015",核心技能领悟 / 神圣之锤,0,src/conf/conf_skill.erl:589
530111,2,牧师,0,未在 skill.hrl 定义宏,1,0,0,1,0,,,0,src/conf/conf_skill.erl:601
530120,2,牧师,4,核心魂珠,1,530110,2,25,0,,,0,src/conf/conf_skill.erl:613
530121,2,牧师,0,未在 skill.hrl 定义宏,1,0,0,1,0,,,0,src/conf/conf_skill.erl:625
530130,2,牧师,4,核心魂珠,1,530110,1,1,7000004,7000004,核心魂珠·对群,0,src/conf/conf_skill.erl:637
530131,2,牧师,0,未在 skill.hrl 定义宏,1,0,0,1,0,,,0,src/conf/conf_skill.erl:649
530210,2,牧师,2,战技术式,1,0,0,1,7000009,"7000001, 7000009",战技领悟·一式 / 惩戒之锤,0,src/conf/conf_skill.erl:661
530220,2,牧师,5,战技魂珠,1,530210,0,3,0,,,0,src/conf/conf_skill.erl:673
530230,2,牧师,5,战技魂珠,1,530210,0,1,7000005,7000005,战技魂珠·二式,0,src/conf/conf_skill.erl:685
530310,2,牧师,2,战技术式,1,0,0,1,7000012,"7000002, 7000012",战技领悟·二式 / 流源祝福,0,src/conf/conf_skill.erl:697
530320,2,牧师,5,战技魂珠,1,530310,0,25,0,,,0,src/conf/conf_skill.erl:709
530330,2,牧师,5,战技魂珠,1,530310,0,5,0,,,0,src/conf/conf_skill.erl:721
530410,2,牧师,2,战技术式,1,0,0,30,0,,,0,src/conf/conf_skill.erl:733
530420,2,牧师,5,战技魂珠,1,530410,0,30,0,,,0,src/conf/conf_skill.erl:745
530430,2,牧师,5,战技魂珠,1,530410,0,30,0,,,0,src/conf/conf_skill.erl:757
533110,2,牧师,3,被动模块,0,0,0,1,7000006,7000006,被动领悟·一式,0,src/conf/conf_skill.erl:769
533111,2,牧师,3,被动模块,0,0,0,1,7000007,7000007,被动领悟·二式,0,src/conf/conf_skill.erl:781
533112,2,牧师,3,被动模块,0,0,0,35,0,,,0,src/conf/conf_skill.erl:793
533113,2,牧师,3,被动模块,0,0,0,35,0,,,0,src/conf/conf_skill.erl:805
533115,2,牧师,3,被动模块,0,0,0,40,0,,,0,src/conf/conf_skill.erl:817
533116,2,牧师,3,被动模块,0,0,0,50,0,,,0,src/conf/conf_skill.erl:829
5121102,0,全职业,0,未在 skill.hrl 定义宏,0,0,0,1,0,,,0,src/conf/conf_skill.erl:1033
7100020,0,全职业,6,宠物主动技能,0,0,0,0,0,,,800,src/conf/conf_skill.erl:1057
