dungeon_type,关卡ID,层数,章节ID,结构ID,数数通过场景数,对应房间段,房间池ID,候选房间Prefab ID,权重,完成规则,开启关卡指引,房间类型,特殊内容,source,verification_status
1,10101,1,1,10101,1,第1房,101403,1010301,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=2,USER_APPROVED
1,10101,1,1,10101,2,第2房,101602,1010401,100,0,0,特殊奖励事件房,战技1,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=3,USER_APPROVED
1,10101,1,1,10101,3,第3房,101404,1010302,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=4,USER_APPROVED
1,10101,1,1,10101,4,第4房,101501,1010501~1010502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=5,USER_APPROVED
1,10102,2,1,10102,1,第1房,101405,1010303,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=6,USER_APPROVED
1,10102,2,1,10102,2,第2房,101602,1010401,100,0,0,特殊奖励事件房,战技2,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=7,USER_APPROVED
1,10102,2,1,10102,3,第3房,101202,1010102,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=8,USER_APPROVED
1,10102,2,1,10102,4,第4房,101501,1010501~1010502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=9,USER_APPROVED
1,10103,3,1,10103,1,第1房,101401,1010301~1010302,100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=10,USER_APPROVED
1,10103,3,1,10103,2,第2房,101602,1010401,100,0,0,特殊奖励事件房,蓝色武器,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=11,USER_APPROVED
1,10103,3,1,10103,3,第3房,101301,1010201~1010202~1010203~1010204~1010205~1010206~1010207~1010208~1010209,100~100~100~100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=12,USER_APPROVED
1,10103,3,1,10103,4,第4房,101501,1010501~1010502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=13,USER_APPROVED
1,10104,4,1,10104,1,第1房,101401,1010301~1010302,100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=14,USER_APPROVED
1,10104,4,1,10104,2,第2房,101604,1010403,100,0,0,特殊用途房-武器试用,红色武器试用,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=15,USER_APPROVED
1,10104,4,1,10104,3,第3房,101301,1010201~1010202~1010203~1010204~1010205~1010206~1010207~1010208~1010209,100~100~100~100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=16,USER_APPROVED
1,10104,4,1,10104,4,第4房,101501,1010501~1010502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=17,USER_APPROVED
1,10105,5,1,10105,1,第1房,101301,1010201~1010202~1010203~1010204~1010205~1010206~1010207~1010208~1010209,100~100~100~100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=18,USER_APPROVED
1,10105,5,1,10105,2,第2房,101301,1010201~1010202~1010203~1010204~1010205~1010206~1010207~1010208~1010209,100~100~100~100~100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=19,USER_APPROVED
1,10105,5,1,10105,3,第3房,101501,1010501~1010502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=20,USER_APPROVED
1,10106,6,1,10106,1,第1房,101304,1011204,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=21,USER_APPROVED
1,10106,6,1,10106,2,第2房,101606,1011401,100,0,0,特殊奖励事件房,紫色武器,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=22,USER_APPROVED
1,10106,6,1,10106,3,第3房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=23,USER_APPROVED
1,10106,6,1,10106,4,第4房,101502,1011501~1011502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=24,USER_APPROVED
1,10107,7,1,10107,1,第1房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=25,USER_APPROVED
1,10107,7,1,10107,2,第2房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=26,USER_APPROVED
1,10107,7,1,10107,3,第3房,101502,1011501~1011502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=27,USER_APPROVED
1,10108,8,1,10108,1,第1房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=28,USER_APPROVED
1,10108,8,1,10108,2,第2房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=29,USER_APPROVED
1,10108,8,1,10108,3,第3房,101502,1011501~1011502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=30,USER_APPROVED
1,10109,9,1,10109,1,第1房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=31,USER_APPROVED
1,10109,9,1,10109,2,第2房,101606,1011401,100,0,0,特殊奖励事件房,核心战技,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=32,USER_APPROVED
1,10109,9,1,10109,3,第3房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=33,USER_APPROVED
1,10109,9,1,10109,4,第4房,101502,1011501~1011502,100~100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=34,USER_APPROVED
1,10110,10,1,10110,1,第1房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=35,USER_APPROVED
1,10110,10,1,10110,2,第2房,101606,1011401,100,0,0,特殊奖励事件房,橙色武器,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=36,USER_APPROVED
1,10110,10,1,10110,3,第3房,101302,1011201~1011202~1011203,100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=37,USER_APPROVED
1,10110,10,1,10110,4,第4房,101504,1011503,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=38,USER_APPROVED
1,10111,11,1,10111,1,第1房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=39,USER_APPROVED
1,10111,11,1,10111,2,第2房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=40,USER_APPROVED
1,10111,11,1,10111,3,第3房,101505,1012501,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=41,USER_APPROVED
1,10112,12,1,10112,1,第1房,101305,1012206,100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=42,USER_APPROVED
1,10112,12,1,10112,2,第2房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=43,USER_APPROVED
1,10112,12,1,10112,3,第3房,101505,1012501,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=44,USER_APPROVED
1,10113,13,1,10113,1,第1房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=45,USER_APPROVED
1,10113,13,1,10113,2,第2房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=46,USER_APPROVED
1,10113,13,1,10113,3,第3房,101505,1012501,100,3,0,Boss房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=47,USER_APPROVED
1,10114,14,1,10114,1,第1房,101306,1012201~1012202~1012203~1012204~1012205,100~100~100~100~100,1,1,战斗房,,小秘境10101-10530_数数通过场景数映射表.xlsx|映射表|row=48,USER_APPROVED
