relation_key,dungeon_type,dungeon_id,关卡,类别,解锁内容,实际条件,状态,说明,配置证据,source,verification_status
1:10101:R5,1,10101,1-1,技能,战技1,关内一次性特殊奖励事件拾取,已配置,按职业发放战技1解锁道具。,dungeon_inners_event_reward：level_id=10101,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10102:R6,1,10102,1-2,技能,战技2,关内一次性特殊奖励事件拾取,已配置,按职业发放战技2解锁道具。,dungeon_inners_event_reward：level_id=10102,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10104:R7,1,10104,1-4,系统,技能系统主入口,通关指定小秘境 1-4,已配置,入口开放；单个技能和槽位仍按自身规则。,menu.id=2 -> unlock.id=1102,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10104:R8,1,10104,1-4,魂珠教学,战技1魂珠1装配教学,首次通关后，技能等级达到3级并装配,设计契约,关卡负责触发教学，不等于仅通关即可装配。,寻路式引导契约：1-4,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10107:R9,1,10107,1-7,魂珠教学,战技2魂珠1装配教学,首次通关后，技能等级达到5级并装配,设计契约,旧开放表写1-8；当前契约为1-7。,寻路式引导契约：1-7,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10109:R10,1,10109,1-9,技能,战技3本体,关内一次性特殊奖励事件拾取,已配置,按职业发放战技3解锁道具。,dungeon_inners_event_reward：level_id=10109,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10110:R11,1,10110,1-10,系统,冒险大厅,通关指定小秘境 1-10,已配置,玩法聚合入口开放。,menu.id=15 -> unlock.id=1115,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10110:R12,1,10110,1-10,玩法,大秘境入口,通关指定小秘境 1-10,已配置,与冒险大厅同步开放。,gameplay_entry.id=1 -> unlock.id=1201,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10112:R13,1,10112,1-12,系统,铁匠铺,通关指定小秘境 1-12,已配置,强化相关入口开放。,menu.id=3 -> unlock.id=1103,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
1:10112:R14,1,10112,1-12,系统,武器召唤,通关指定小秘境 1-12,已配置,武器抽卡入口开放。,menu.id=8 -> unlock.id=1108,MHR_小秘境绑定解锁表.xlsx|小秘境绑定解锁表|A4:H35,SOURCE_RECORDED
