event_name,property_name,property_display,property_type,property_desc
account_login,first_login,首次登录,数值,1-首次 0-非首次
armor_decompose,decompose_items,分解装备,对象组,本次一键分解的装备集合，每件装备传一组
armor_decompose,decompose_items.id,装备配置 id,数值,待分解装备配置 id
armor_decompose,decompose_items.key,装备唯一 key,文本,待分解装备实例唯一 key
armor_decompose,return_items,返还道具,对象组,对象组；对象组内字段以 return_items.字段名 上传
armor_decompose,return_items.id,返还道具id,数值,分解返还道具配置id
armor_decompose,return_items.num,返还道具数量,数值,返还数量
armor_equip,item_id,道具id,数值,打开页签时报0
armor_equip,item_key,道具唯一key,文本,装备/武器实例唯一key
armor_equip,item_quality,道具品质,数值,品质/稀有度
armor_equip,pos,部位,数值,装备部位
career_preview,career_id,当次选择职业,数值,
chest_open,cost_id,消耗id,数值,消耗道具配置id
chest_open,cost_num,消耗数量,数值,消耗数量
chest_open,lottery_type,抽数类型,数值,1-单抽 10-十抽
chest_open,pool_id,奖池id,数值,宝箱/祈愿池id
chest_open,reward,获得奖励,对象组,对象组；对象组内字段以 reward.字段名 上传
chest_open,reward.id,奖励ID,数值,获得道具配置id
chest_open,reward.num,奖励数量,数值,获得数量
dungeon,boss_duration,boss用时,数值,
dungeon,chest_open_num,开启宝箱数量,数值,本局开启副本宝箱数量 小秘境才需要 3506协议
dungeon,damage_amount,造成伤害,数值,本局造成伤害
dungeon,death_count,死亡次数,数值,本局死亡次数
dungeon,dungeon_id,副本id,数值,副本配置id（关卡id）
dungeon,dungeon_key,副本唯一key,文本,本次副本唯一标识 考虑 pkey + 时间戳 拼接 同时推送客户端 用于副本打点
dungeon,dungeon_result,副本结果,数值,1-成功 0-战败 2-正常点击退出、主动换场景 3-异常退出（掉线/杀客户端导致玩家进程退出，或副本进程异常退出）
dungeon,dungeon_star,副本星数,数值,没有的上报0 目前小秘境才有
dungeon,dungeon_type,副本类型,数值,1-主线 2-大秘境 3-素材秘境 5-装备秘境
dungeon,robot_num,机器人数量,数值,本局游戏机器人数量，组队打宝才有
